	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1175	1	0
2	60	1177	24	12
3	90	1082	114	52
4	120	976	221	79
5	150	962	266	83
6	180	989	277	83
7	210	995	288	99
8	240	912	335	158
9	270	866	378	187
10	300	872	387	195
11	330	889	392	196
12	360	891	394	221
13	390	842	424	269
14	420	804	454	304
15	450	812	465	310
16	480	838	467	311
17	510	840	474	330
18	540	780	494	392
19	570	744	501	421
20	600	757	437	428
21	630	776	330	429
22	660	779	270	455
23	690	723	278	513
24	720	693	286	547
25	750	702	256	552
26	780	712	207	555
27	810	719	193	565
28	840	660	206	627
29	870	643	215	654
30	900	646	196	663
31	930	653	165	667
32	960	644	159	694
33	990	600	167	743
34	1020	576	186	766
35	1050	582	177	769
36	1080	599	154	769
37	1110	607	143	785
38	1140	564	152	837
39	1170	545	160	861
40	1200	558	150	863
41	1230	570	134	863
42	1260	574	129	878
43	1290	525	134	933
44	1320	507	143	955
45	1350	511	134	959
46	1380	520	120	960
47	1410	522	116	979
48	1440	478	125	1033
