	time	total_volume	cell_type	cycle_model	current_phase	elapsed_time_in_phase	nuclear_volume	cytoplasmic_volume	fluid_fraction	calcified_fraction	x_orientation	x_orientation	y_orientation	x_orientation	x_orientation	polarity	migration_speed	x_motility_vector	x_motility_vector	y_motility_vector	x_motility_vector	x_motility_vector	migration_bias	x_motility_bias_direction	x_motility_bias_direction	y_motility_bias_direction	x_motility_bias_direction	x_motility_bias_direction	persistence_time	motility_reserved	next_physiboss_run	TNFR_binding_rate	TNFR_endocytosis_rate	TNFR_recycling_rate	TNFR_activation_threshold	TNFR_receptors_per_cell	TFN_net_production_rate	tnf_node	fadd_node	nfkb_node	external_tnf	unbound_external_TNFR	bound_external_TNFR	bound_internal_TNFR
0	0	2494.0	0.0	5.0	14.0	12.869590997363787	540.0	1954.0	0.75	0.0	0.01379415633136281	0.007204042834365619	-0.004798706930605028	0.01379415633136281	0.007204042834365619	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	9.92630158842178	0.33986731656454605	0.1735016705481463	0.3432203095659885	0.5	1.0	0.0	0.0	0.4912126537785589	0.0	0.0	1.0	0.0	0.0
1	30	2435.360064045075	0.0	5.0	14.0	41.838278587982636	527.39613812659	1907.9639259184898	0.7494372017126857	0.0	0.010728829011838777	0.011292975564994909	-0.007315651880420455	0.010728829011838777	0.011292975564994909	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	33.95704540647838	0.33986731656454616	0.17350167054814636	0.3432203095659886	0.5	1.0	0.0	0.8446351931330472	0.4927038626609442	0.006008583690987125	0.0	0.2031699139277946	0.5307274826126285	0.2661026034595769
2	60	2364.9490995652427	0.0	5.0	14.0	68.37500301526893	512.4596785286584	1852.4894210365858	0.7481003691174655	0.0	0.010922537485176749	0.014660039310366472	-0.00854183676765821	0.010922537485176749	0.014660039310366472	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	63.66771237027711	0.3398673165645462	0.17350167054814636	0.34322030956598865	0.5	1.0	0.0	0.26293469041560646	0.4953350296861747	0.26632739609838846	0.0	0.3006036539953592	0.4610263267527199	0.23837001925192022
3	90	2298.7276210355258	0.0	5.0	14.0	93.66082690850268	498.70576214308886	1800.0218588924372	0.7459362057099223	0.0	0.00905362042719153	0.020169327256756932	-0.009640923302093445	0.00905362042719153	0.020169327256756932	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	93.6171192238195	0.33986731656454583	0.1735016705481462	0.34322030956598826	0.5	1.0	0.0	0.0	0.4491682070240296	0.3419593345656192	0.0	0.49581612367584343	0.3303638206204022	0.1738200557037544
4	120	2247.3390814637646	0.0	5.0	14.0	117.98784142339066	488.23091059072357	1759.1081708730394	0.7438861884276545	0.0	0.008663226036771892	0.027674068017587004	-0.006150583228805832	0.008663226036771892	0.027674068017587004	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	124.20171055077435	0.3398673165645453	0.17350167054814591	0.3432203095659877	0.5	1.0	0.0	0.0	0.37681159420289856	0.15631469979296067	0.0	0.6951261786094436	0.19850912949151284	0.10636469189904339
5	150	2205.5300933525696	0.0	5.0	14.0	141.15698784871347	479.8575665622928	1725.672526790275	0.7419487380393794	0.0	0.0016067270163125905	0.03164433786753453	-0.008773771389335938	0.0016067270163125905	0.03164433786753453	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	153.81617880067628	0.33986731656454505	0.1735016705481458	0.3432203095659875	0.5	1.0	0.0	0.0	0.33583690987124465	0.03862660944206009	0.0	0.8421147209691432	0.10231581168887968	0.05556946734197849
6	180	2178.3765432029254	0.0	5.0	14.0	163.9440091896359	474.6428937252896	1703.7336494776364	0.740442249739064	0.0	-0.00012132411013026413	0.02756996914128757	-0.010206992495150738	-0.00012132411013026413	0.02756996914128757	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	183.6648860992625	0.3398673165645451	0.17350167054814586	0.34322030956598754	0.5	1.0	0.0	0.0	0.3241525423728814	0.01059322033898305	0.0	0.9260947641755816	0.04776219839840263	0.026143037426016015
7	210	2129.0347560125847	0.0	5.0	14.0	181.68210325310187	464.5670934523113	1664.467662560276	0.7389434713499742	0.0	0.0021457793392953384	0.02977361787038046	-0.01302700904396908	0.0021457793392953384	0.02977361787038046	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	213.6670711657027	0.33986731656454533	0.17350167054814594	0.34322030956598776	0.5	1.0	0.0	0.0	0.3237704918032787	0.0020491803278688526	0.0	0.9674718457518928	0.020984070295016248	0.011544083953091418
8	240	2102.9359826415334	0.0	5.0	14.0	200.5607552888905	459.57745384878234	1643.3585287927517	0.7376083623209422	0.0	0.01211381053299432	0.02629844165885769	-0.013779243894503607	0.01211381053299432	0.02629844165885769	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	243.7464003649059	0.33986731656454544	0.173501670548146	0.34322030956598787	0.5	1.0	0.0	0.0	0.32270916334661354	0.00099601593625498	0.0	0.9859630257117069	0.009052431113973892	0.0049845431743189466
9	270	2066.173724860404	0.0	5.0	14.0	216.5144214519644	452.2327045540115	1613.9410203063924	0.7362503183899289	0.0	0.006217943167343502	0.02160554629741595	-0.01221579485092925	0.006217943167343502	0.02160554629741595	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	273.67514364864655	0.3398673165645456	0.17350167054814608	0.34322030956598804	0.5	1.0	0.0	0.0	0.325	0.0	0.0	0.9940259254591656	0.0038511429874750645	0.002122931553360013
