	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	1	1165
2	60	8	15	1179
3	90	33	120	1082
4	120	54	245	966
5	150	59	298	932
6	180	59	308	944
7	210	60	310	976
8	240	60	311	1004
9	270	60	312	1040
10	300	60	315	1073
11	330	60	316	1110
12	360	60	317	1136
13	390	60	319	1170
14	420	60	321	1204
15	450	60	322	1244
16	480	60	323	1282
17	510	60	323	1325
18	540	60	324	1375
19	570	60	320	1436
20	600	60	243	1466
21	630	61	102	1519
22	660	103	46	1542
23	690	262	90	1367
24	720	321	142	1300
25	750	325	158	1333
26	780	325	164	1372
27	810	325	164	1410
28	840	325	163	1449
29	870	325	167	1488
30	900	325	167	1541
31	930	325	167	1588
32	960	325	171	1640
33	990	325	173	1701
34	1020	325	176	1758
35	1050	325	175	1812
36	1080	325	177	1882
37	1110	325	177	1957
38	1140	325	180	2016
39	1170	325	174	2066
40	1200	325	136	2110
41	1230	325	81	2170
42	1260	413	59	2150
43	1290	633	118	1931
44	1320	705	178	1860
45	1350	715	194	1896
46	1380	717	193	1939
47	1410	717	196	1984
48	1440	717	199	2046
