	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1159	0	1
2	60	1172	6	12
3	90	1085	42	95
4	120	1002	59	184
5	150	978	65	227
6	180	988	65	239
7	210	987	80	247
8	240	911	141	292
9	270	828	177	363
10	300	824	180	383
11	330	837	180	389
12	360	835	194	393
13	390	777	247	412
14	420	748	272	433
15	450	761	273	442
16	480	770	274	446
17	510	769	292	449
18	540	719	351	462
19	570	690	378	476
20	600	689	380	421
21	630	706	380	331
22	660	711	395	282
23	690	655	455	277
24	720	627	477	290
25	750	637	478	251
26	780	653	478	186
27	810	649	494	158
28	840	597	547	166
29	870	586	565	178
30	900	593	566	165
31	930	606	566	147
32	960	596	585	141
33	990	548	634	146
34	1020	533	653	153
35	1050	538	655	149
36	1080	545	655	127
37	1110	537	671	111
38	1140	490	718	118
39	1170	479	739	123
40	1200	480	742	119
41	1230	490	743	102
42	1260	487	759	100
43	1290	462	797	101
44	1320	438	819	110
45	1350	446	822	102
46	1380	451	822	84
47	1410	445	834	83
48	1440	419	865	83
