	time	total_volume	cell_type	cycle_model	current_phase	elapsed_time_in_phase	nuclear_volume	cytoplasmic_volume	fluid_fraction	calcified_fraction	x_orientation	x_orientation	y_orientation	x_orientation	x_orientation	polarity	migration_speed	x_motility_vector	x_motility_vector	y_motility_vector	x_motility_vector	x_motility_vector	migration_bias	x_motility_bias_direction	x_motility_bias_direction	y_motility_bias_direction	x_motility_bias_direction	x_motility_bias_direction	persistence_time	motility_reserved	next_physiboss_run	TNFR_binding_rate	TNFR_endocytosis_rate	TNFR_recycling_rate	TNFR_activation_threshold	TNFR_receptors_per_cell	TFN_net_production_rate	tnf_node	fadd_node	nfkb_node	external_tnf	unbound_external_TNFR	bound_external_TNFR	bound_internal_TNFR
0	0	2494.0	0.0	5.0	14.0	12.869590997363787	540.0	1954.0	0.75	0.0	0.01379415633136281	0.007204042834365619	-0.004798706930605028	0.01379415633136281	0.007204042834365619	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.119920932437802	0.21866894752673852	0.1697720902955376	0.5378626847397078	0.5	1.0	0.0	0.0	0.4868189806678383	0.0	0.0	1.0	0.0	0.0
1	30	2404.6398691691934	0.0	5.0	14.0	40.8835208940676	520.7580443984093	1883.8818247707864	0.7493309303129527	0.0	0.00012051068960460566	0.004117180165534808	-0.009235083761857757	0.00012051068960460566	0.004117180165534808	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	34.081248533816826	0.21866894752673852	0.16977209029553764	0.5378626847397078	0.5	1.0	0.0	0.6398305084745762	0.488135593220339	0.003389830508474576	0.0	0.3115457923036744	0.5242562573015144	0.1641979503948118
2	60	2357.9707990718634	0.0	5.0	14.0	68.5622049036869	511.06817230400264	1846.9026267678614	0.7475143498024437	0.0	-0.00314739564660333	0.006376048018438258	-0.0092228780356292	-0.00314739564660333	0.006376048018438258	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	63.67681258751548	0.2186689475267385	0.16977209029553764	0.5378626847397078	0.5	1.0	0.0	0.10469011725293133	0.4824120603015075	0.20435510887772193	0.0	0.42107566312148326	0.4380018021359671	0.14092253474254948
3	90	2314.005237398032	0.0	5.0	14.0	95.02164891129027	502.0813796264007	1811.923857771629	0.7458260670346308	0.0	-0.005135972401385647	0.013772077141179433	-0.0005705402689706211	-0.005135972401385647	0.013772077141179433	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	93.7647171659859	0.21866894752673854	0.1697720902955376	0.5378626847397079	0.5	1.0	0.0	0.0	0.4543010752688172	0.30376344086021506	0.0	0.6161831004208811	0.28950178017854905	0.09431511940056923
4	120	2274.76440605945	0.0	5.0	14.0	120.45489677842131	494.20785687355436	1780.5565491858906	0.7442412070952422	0.0	-0.016751141432571188	0.020445236012582153	-0.007624650877178137	-0.016751141432571188	0.020445236012582153	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	124.08256009016749	0.21866894752673868	0.16977209029553755	0.5378626847397079	0.5	1.0	0.0	0.0	0.40524781341107874	0.11758989310009718	0.0	0.7860520418634034	0.16100442142418314	0.052943536712412614
5	150	2229.0069021047057	0.0	5.0	14.0	142.70931668467665	484.9020231245392	1744.1048789801628	0.7427488525119028	0.0	-0.017225280211867824	0.020360851693305614	-0.006072348809928779	-0.017225280211867824	0.020360851693305614	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	153.80302328215654	0.21866894752673868	0.16977209029553755	0.5378626847397079	0.5	1.0	0.0	0.0	0.38605108055009824	0.03929273084479371	0.0	0.8952717023165879	0.07867362230043984	0.02605467538297161
6	180	2168.3967104782287	0.0	5.0	14.0	160.54976318835386	472.3633747617173	1696.0333357165123	0.7413026516319811	0.0	-0.01577251596046187	0.02066458435061372	-0.002400767761195231	-0.01577251596046187	0.02066458435061372	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	183.90134610858945	0.21866894752673866	0.16977209029553755	0.5378626847397079	0.5	1.0	0.0	0.0	0.3824091778202677	0.008604206500956023	0.0	0.9527607910592537	0.03544849698546724	0.011790711955278348
7	210	2136.362837199896	0.0	5.0	14.0	180.77364920319715	466.12007251437126	1670.2427646855265	0.7396913450331329	0.0	-0.016081588623459257	0.018513013248549703	-6.797636509362162e-05	-0.016081588623459257	0.018513013248549703	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	213.98257219706892	0.2186689475267386	0.16977209029553758	0.5378626847397079	0.5	1.0	0.0	0.0	0.37744641192917056	0.0	0.0	0.9793875751135415	0.015465518824083835	0.005146906062375564
8	240	2124.66885130304	0.0	5.0	14.0	202.6551936086233	464.24603580297895	1660.422815500064	0.738464863887367	0.0	-0.01319734555728032	0.016089422098041452	0.0009698891404173252	-0.01319734555728032	0.016089422098041452	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	243.6260983220102	0.21866894752673857	0.1697720902955376	0.5378626847397079	0.5	1.0	0.0	0.0	0.38047445255474455	0.0	0.0	0.9910237580621664	0.006733969935760518	0.0022422720020737166
9	270	2112.705686668974	0.0	5.0	14.0	222.92686803129342	462.23315853857844	1650.4725281303993	0.7377231223981754	0.0	-0.009669148831097873	0.01301926701562479	-8.694457196259278e-05	-0.009669148831097873	0.01301926701562479	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	274.08002880157267	0.21866894752673854	0.1697720902955376	0.5378626847397078	0.5	1.0	0.0	0.0	0.38392857142857145	0.0	0.0	0.9961334244516937	0.002900624505885417	0.0009659510424209733
