	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1180	1	0
2	60	1194	9	4
3	90	1116	68	45
4	120	1029	161	58
5	150	1018	196	61
6	180	1046	207	62
7	210	1073	210	62
8	240	1096	210	62
9	270	1120	211	62
10	300	1139	216	62
11	330	1171	218	62
12	360	1206	219	62
13	390	1236	220	62
14	420	1276	220	62
15	450	1310	222	62
16	480	1328	224	62
17	510	1357	225	62
18	540	1396	224	62
19	570	1433	221	62
20	600	1473	177	62
21	630	1497	88	62
22	660	1501	44	97
23	690	1352	78	229
24	720	1306	120	276
25	750	1318	142	283
26	780	1340	146	283
27	810	1354	148	283
28	840	1386	146	283
29	870	1415	150	283
30	900	1448	156	283
31	930	1483	156	283
32	960	1532	154	283
33	990	1568	155	283
34	1020	1610	156	283
35	1050	1658	157	283
36	1080	1696	157	283
37	1110	1737	156	283
38	1140	1775	161	283
39	1170	1820	159	283
40	1200	1866	130	283
41	1230	1921	80	283
42	1260	1929	60	327
43	1290	1714	115	523
44	1320	1619	177	583
45	1350	1630	197	591
46	1380	1643	202	594
47	1410	1683	198	594
48	1440	1734	201	594
