	time	total_volume	cell_type	cycle_model	current_phase	elapsed_time_in_phase	nuclear_volume	cytoplasmic_volume	fluid_fraction	calcified_fraction	x_orientation	x_orientation	y_orientation	x_orientation	x_orientation	polarity	migration_speed	x_motility_vector	x_motility_vector	y_motility_vector	x_motility_vector	x_motility_vector	migration_bias	x_motility_bias_direction	x_motility_bias_direction	y_motility_bias_direction	x_motility_bias_direction	x_motility_bias_direction	persistence_time	motility_reserved	next_physiboss_run	TNFR_binding_rate	TNFR_endocytosis_rate	TNFR_recycling_rate	TNFR_activation_threshold	TNFR_receptors_per_cell	TFN_net_production_rate	tnf_node	fadd_node	nfkb_node	external_tnf	unbound_external_TNFR	bound_external_TNFR	bound_internal_TNFR
0	0	2494.0	0.0	5.0	14.0	12.869590997363787	540.0	1954.0	0.75	0.0	0.01379415633136281	0.007204042834365619	-0.004798706930605028	0.01379415633136281	0.007204042834365619	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	9.913314960793443	0.2212552128519789	0.169260482989408	0.5406630559214585	0.5	1.0	0.0	0.0	0.4912126537785589	0.0	0.0	1.0	0.0	0.0
1	30	2421.0164824885637	0.0	5.0	14.0	40.97303597519229	524.3169398521705	1896.6995426363956	0.7493284306133923	0.0	0.010415469983760542	0.012189550167531208	-0.002277920626829504	0.010415469983760542	0.012189550167531208	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	33.99828027875192	0.22125521285197905	0.16926048298940818	0.5406630559214572	0.5	1.0	0.0	0.649272882805817	0.49016253207869975	0.003421727972626176	0.0	0.30683453047163034	0.5288776991059042	0.1642877704224652
2	60	2357.912983041951	0.0	5.0	14.0	67.85500160353712	511.0215344004953	1846.8914486414606	0.7477294934516729	0.0	0.0034451095007631224	0.009091152642972717	0.002154484643813693	0.0034451095007631224	0.009091152642972717	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	63.80133306733009	0.22125521285197916	0.1692604829894083	0.5406630559214566	0.5	1.0	0.0	0.15235690235690236	0.4882154882154882	0.21296296296296297	0.0	0.4178767966292031	0.4413014421061441	0.14082176126465232
3	90	2290.7035410928816	0.0	5.0	14.0	92.72955520239181	497.0717497701081	1793.6317913227736	0.745475776648085	0.0	0.003301028677289398	0.0061194278833584	-0.012246686641164338	0.003301028677289398	0.0061194278833584	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	93.93971580714548	0.22125521285197858	0.16926048298940766	0.5406630559214606	0.5	1.0	0.0	0.0	0.45262189512419504	0.2796688132474701	0.0	0.6156439935756745	0.2905231408858011	0.0938328655385243
4	120	2258.9495625046957	0.0	5.0	14.0	118.56499157759015	490.8723637970484	1768.0771987076434	0.7433766046904022	0.0	0.005071896834621318	0.0009304533362243122	0.0020751280890515165	0.005071896834621318	0.0009304533362243122	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	123.69246471812987	0.2212552128519777	0.1692604829894068	0.5406630559214661	0.5	1.0	0.0	0.0	0.3936279547790339	0.09352517985611511	0.0	0.7842968840321759	0.16268576564253215	0.05301735032529198
5	150	2202.113493520116	0.0	5.0	14.0	139.40306282037912	479.169570383424	1722.9439231366903	0.7419421199887172	0.0	0.006996898966518154	-0.005509799495515484	0.006950137592287813	0.006996898966518154	-0.005509799495515484	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	153.8586566827332	0.2212552128519775	0.16926048298940663	0.5406630559214672	0.5	1.0	0.0	0.0	0.3644957983193277	0.022058823529411766	0.0	0.8939187712339671	0.07985335637771533	0.026227872388316815
6	180	2154.6115020537877	0.0	5.0	14.0	159.58053800722584	469.5582369323468	1685.0532651214432	0.7401998201565206	0.0	0.008387730931588875	-0.0039326387637867435	-0.0007169793356579586	0.008387730931588875	-0.0039326387637867435	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	183.9668809818963	0.22125521285197766	0.16926048298940677	0.5406630559214662	0.5	1.0	0.0	0.4933058702368692	0.3532440782698249	0.008238928939237899	0.0	0.3359927020644075	0.5067808423705464	0.15722645556504694
7	210	2103.1369240842705	0.0	5.0	14.0	176.77850946594893	459.18196616694127	1643.954957917335	0.7382154983764484	0.0	0.012025882349780151	-0.012017320106346027	-0.0032432363553709788	0.012025882349780151	-0.012017320106346027	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	213.8825784525151	0.22125521285197777	0.16926048298940688	0.5406630559214656	0.5	1.0	0.0	0.14140386571719227	0.34791454730417093	0.14852492370295015	0.0	0.4443190548378257	0.42117491974186966	0.1345060254203038
8	240	2073.1611697390695	0.0	5.0	14.0	196.54422027501744	453.8662065832328	1619.2949631558345	0.7359766437085685	0.0	0.018482411241490696	-0.014619967414695439	-0.0006590804516832006	0.018482411241490696	-0.014619967414695439	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	243.85191456565948	0.2212552128519769	0.16926048298940605	0.5406630559214674	0.5	1.0	0.0	0.0	0.3164983164983165	0.21548821548821548	0.0	0.6315804607436405	0.27848777229767613	0.08993176695868217
9	270	2046.0409375540744	0.0	5.0	14.0	213.56057073833688	449.05530495814526	1596.98563259593	0.7347036419944629	0.0	0.008385276329659679	-0.0023356568295226877	0.002712621624703147	0.008385276329659679	-0.0023356568295226877	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	273.91073088281746	0.2212552128519763	0.1692604829894054	0.5406630559214671	0.5	1.0	0.0	0.0	0.28331332533013204	0.09603841536614646	0.0	0.7936013921948107	0.15565741043438572	0.050741197370802696
