	time	apoptotic	alive	necrotic
0	0	0	1138	0
1	30	4	1169	0
2	60	13	1188	6
3	90	104	1087	49
4	120	215	973	71
5	150	268	952	72
6	180	282	971	72
7	210	287	983	91
8	240	339	891	148
9	270	385	833	178
10	300	403	826	183
11	330	406	835	183
12	360	414	838	200
13	390	433	782	255
14	420	460	760	283
15	450	470	767	286
16	480	475	788	287
17	510	477	797	306
18	540	492	734	370
19	570	504	716	388
20	600	442	717	394
21	630	325	733	394
22	660	264	744	405
23	690	262	696	459
24	720	271	677	483
25	750	241	687	485
26	780	191	706	486
27	810	173	692	510
28	840	176	640	568
29	870	186	608	596
30	900	174	628	597
31	930	151	637	597
32	960	142	647	605
33	990	142	599	666
34	1020	156	577	686
35	1050	146	587	690
36	1080	128	605	691
37	1110	117	601	705
38	1140	125	560	744
39	1170	130	540	767
40	1200	122	541	768
41	1230	108	549	768
42	1260	102	559	778
43	1290	104	519	831
44	1320	111	490	857
45	1350	108	496	859
46	1380	91	506	859
47	1410	88	512	868
48	1440	92	481	904
