	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1177	0	1
2	60	1199	5	9
3	90	1130	45	84
4	120	1008	82	197
5	150	1004	86	233
6	180	1028	86	241
7	210	1052	86	249
8	240	1087	86	251
9	270	1116	86	254
10	300	1136	86	255
11	330	1164	86	259
12	360	1189	86	261
13	390	1225	86	262
14	420	1265	86	265
15	450	1286	86	265
16	480	1326	86	267
17	510	1379	86	269
18	540	1408	86	272
19	570	1448	86	271
20	600	1492	86	222
21	630	1542	86	104
22	660	1537	131	59
23	690	1402	264	90
24	720	1337	317	127
25	750	1352	321	140
26	780	1388	322	140
27	810	1430	322	141
28	840	1468	322	140
29	870	1522	322	139
30	900	1563	322	142
31	930	1605	322	145
32	960	1650	322	149
33	990	1692	322	149
34	1020	1751	322	150
35	1050	1801	322	147
36	1080	1872	322	148
37	1110	1925	322	146
38	1140	1983	322	147
39	1170	2034	322	147
40	1200	2108	322	118
41	1230	2157	322	74
42	1260	2152	372	59
43	1290	1974	563	96
44	1320	1905	634	146
45	1350	1942	642	163
46	1380	1999	642	166
47	1410	2043	642	164
48	1440	2097	642	162
