	time	total_volume	cell_type	cycle_model	current_phase	elapsed_time_in_phase	nuclear_volume	cytoplasmic_volume	fluid_fraction	calcified_fraction	x_orientation	x_orientation	y_orientation	x_orientation	x_orientation	polarity	migration_speed	x_motility_vector	x_motility_vector	y_motility_vector	x_motility_vector	x_motility_vector	migration_bias	x_motility_bias_direction	x_motility_bias_direction	y_motility_bias_direction	x_motility_bias_direction	x_motility_bias_direction	persistence_time	motility_reserved	next_physiboss_run	TNFR_binding_rate	TNFR_endocytosis_rate	TNFR_recycling_rate	TNFR_activation_threshold	TNFR_receptors_per_cell	TFN_net_production_rate	tnf_node	fadd_node	nfkb_node	external_tnf	unbound_external_TNFR	bound_external_TNFR	bound_internal_TNFR
0	0	2494.0	0.0	5.0	14.0	12.869590997363787	540.0	1954.0	0.75	0.0	-7.44182493005606e-05	0.02440019901219906	0.01852190556642642	-7.44182493005606e-05	0.02440019901219906	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	9.881889410568597	0.8899999999999881	0.3399999999999935	0.559999999999991	0.5	1.0	0.0	0.0	0.48154657293497366	0.0	0.0	1.0	0.0	0.0
1	30	2427.3358823267126	0.0	5.0	14.0	41.599277339331415	525.6900969951824	1901.6457853315362	0.7492667828243517	0.0	0.0015489433995960079	0.022439263694406502	0.022532386667738158	0.0015489433995960079	0.022439263694406502	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	33.827793796494404	0.8899999999999898	0.33999999999999303	0.5599999999999898	0.5	1.0	0.0	0.8089117395029991	0.4772922022279349	0.004284490145672665	0.0	0.16597717853693683	0.5192416501730395	0.31478117129002425
2	60	2342.8951752062962	0.0	5.0	14.0	67.33105686447985	507.74288922855874	1835.1522859777374	0.7476807190641044	0.0	-0.0066171885603650395	0.013025944345781222	0.02104695572521883	-0.0066171885603650395	0.013025944345781222	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	63.79263537531058	0.8899999999999917	0.3399999999999927	0.5599999999999891	0.5	1.0	0.0	0.10016835016835017	0.4663299663299663	0.2281144781144781	0.0	0.2706941769407791	0.45111073968676735	0.2781950833724531
3	90	2277.5119711475486	0.0	5.0	14.0	92.48357145264106	494.22418349408775	1783.287787653464	0.7452768205364332	0.0	0.0013815618520628087	-0.00041717987249729197	0.020033060472799288	0.0013815618520628087	-0.00041717987249729197	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	93.63398255913988	0.8899999999999882	0.33999999999999414	0.5599999999999926	0.5	1.0	0.0	0.0	0.43169398907103823	0.2959927140255009	0.0	0.4895797665605178	0.31409343073705964	0.1963268027024231
4	120	2205.567447897195	0.0	5.0	14.0	114.59659360135979	479.35524629744873	1726.2122015997434	0.7427097943263197	0.0	-0.002418228711287941	-0.0033494042673785436	0.020211110116088914	-0.002418228711287941	-0.0033494042673785436	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	123.66666233047587	0.8899999999999884	0.3399999999999955	0.559999999999996	0.5	1.0	0.0	0.0	0.3840155945419103	0.15692007797270954	0.0	0.7157830145043237	0.17405755508969828	0.11015943040597913
5	150	2170.5742512585894	0.0	5.0	14.0	137.88390271598897	472.5327498361363	1698.0415014224534	0.7406673008424367	0.0	-0.006381772361754829	0.0006853384983123769	0.01652553935884514	-0.006381772361754829	0.0006853384983123769	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	154.09100769155626	0.8899999999999884	0.33999999999999586	0.559999999999997	0.5	1.0	0.0	0.0	0.35650446871896724	0.039721946375372394	0.0	0.8632201659228771	0.08353938614485747	0.053240447932264505
6	180	2137.968914678116	0.0	5.0	14.0	158.85062866178205	466.2240993574702	1671.744815320643	0.7393814775613718	0.0	0.00022453554157491018	-0.004117363873942226	0.013293384283092381	0.00022453554157491018	-0.004117363873942226	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	183.9715249087669	0.8899999999999884	0.3399999999999956	0.5599999999999963	0.5	1.0	0.0	0.0	0.3509803921568627	0.0058823529411764705	0.0	0.9395825453025779	0.036861245570733246	0.023556209126688737
7	210	2120.266785957946	0.0	5.0	14.0	180.66677426445182	463.08025460568916	1657.1865313522587	0.7383332714804051	0.0	-0.0023503862232732422	-0.001898690092807206	0.011190002545586893	-0.0023503862232732422	-0.001898690092807206	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	213.94345996050458	0.8899999999999884	0.3399999999999952	0.5599999999999953	0.5	1.0	0.0	0.0	0.35192307692307695	0.0009615384615384616	0.0	0.9739898082822989	0.01586054179613494	0.010149649921565264
8	240	2101.6358230464803	0.0	5.0	14.0	200.50769881113683	459.69727180398684	1641.9385512424942	0.7373838375874706	0.0	-0.007258309913297653	-0.0008462913084032952	0.010735244161847455	-0.007258309913297653	-0.0008462913084032952	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	243.839419763202	0.8899999999999882	0.33999999999999475	0.5599999999999942	0.5	1.0	0.0	0.0	0.34962406015037595	0.0	0.0	0.9889877901175589	0.006714446346815615	0.0042977635356283295
9	270	2086.3192976596683	0.0	5.0	14.0	219.04712113307033	456.9524016345813	1629.3668960250882	0.7368603094972622	0.0	-0.003815403594546281	-0.003921153816744822	0.012592372104624704	-0.003815403594546281	-0.003921153816744822	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	273.77553193187066	0.8899999999999882	0.3399999999999943	0.559999999999993	0.5	1.0	0.0	0.0	0.3486238532110092	0.0	0.0	0.9953613229599813	0.002828680025915621	0.0018099970141047495
