	time	apoptotic	alive	necrotic
0	0	0	1138	0
1	30	2	1170	0
2	60	19	1165	15
3	90	97	1074	58
4	120	210	989	65
5	150	249	988	67
6	180	256	1007	67
7	210	263	1012	87
8	240	321	926	139
9	270	377	872	162
10	300	406	856	165
11	330	411	869	167
12	360	415	864	194
13	390	442	784	265
14	420	479	746	284
15	450	491	753	287
16	480	495	769	287
17	510	498	768	313
18	540	514	716	374
19	570	527	698	392
20	600	473	701	395
21	630	354	722	396
22	660	304	711	420
23	690	308	660	477
24	720	322	630	503
25	750	283	645	505
26	780	217	663	505
27	810	191	653	528
28	840	203	602	575
29	870	219	582	594
30	900	202	592	596
31	930	165	607	596
32	960	152	599	614
33	990	164	543	669
34	1020	176	519	690
35	1050	162	535	691
36	1080	146	544	691
37	1110	138	531	716
38	1140	147	487	767
39	1170	156	465	792
40	1200	151	478	795
41	1230	129	490	796
42	1260	123	488	819
43	1290	128	449	862
44	1320	135	440	882
45	1350	121	439	887
46	1380	104	459	887
47	1410	98	455	900
48	1440	100	425	940
