	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	3	1154
2	60	12	7	1181
3	90	50	89	1088
4	120	65	195	997
5	150	67	230	998
6	180	67	239	1017
7	210	67	245	1045
8	240	67	247	1072
9	270	67	248	1106
10	300	67	248	1141
11	330	67	249	1176
12	360	67	250	1208
13	390	67	250	1238
14	420	67	250	1272
15	450	67	251	1309
16	480	67	251	1342
17	510	67	252	1392
18	540	67	252	1435
19	570	67	254	1470
20	600	67	199	1516
21	630	67	81	1562
22	660	115	43	1549
23	690	237	73	1418
24	720	277	121	1355
25	750	278	129	1376
26	780	278	130	1405
27	810	278	132	1445
28	840	278	135	1484
29	870	278	136	1516
30	900	278	144	1558
31	930	278	145	1606
32	960	278	146	1651
33	990	278	147	1698
34	1020	278	147	1739
35	1050	278	147	1783
36	1080	278	146	1829
37	1110	278	150	1880
38	1140	278	149	1931
39	1170	278	148	1981
40	1200	278	113	2037
41	1230	279	59	2093
42	1260	339	54	2077
43	1290	478	91	1958
44	1320	528	126	1920
45	1350	532	138	1965
46	1380	532	137	2015
47	1410	532	136	2060
48	1440	532	140	2110
