	time	total_volume	cell_type	cycle_model	current_phase	elapsed_time_in_phase	nuclear_volume	cytoplasmic_volume	fluid_fraction	calcified_fraction	x_orientation	x_orientation	y_orientation	x_orientation	x_orientation	polarity	migration_speed	x_motility_vector	x_motility_vector	y_motility_vector	x_motility_vector	x_motility_vector	migration_bias	x_motility_bias_direction	x_motility_bias_direction	y_motility_bias_direction	x_motility_bias_direction	x_motility_bias_direction	persistence_time	motility_reserved	next_physiboss_run	TNFR_binding_rate	TNFR_endocytosis_rate	TNFR_recycling_rate	TNFR_activation_threshold	TNFR_receptors_per_cell	TFN_net_production_rate	tnf_node	fadd_node	nfkb_node	external_tnf	unbound_external_TNFR	bound_external_TNFR	bound_internal_TNFR
0	0	2494.0	0.0	5.0	14.0	12.869590997363787	540.0	1954.0	0.75	0.0	0.028369774953916918	0.0008034445128529635	-0.0057360381128628655	0.028369774953916918	0.0008034445128529635	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.080987218722802	0.8899999999999881	0.449999999999992	1.0	0.5	1.0	0.0	0.0	0.5061511423550088	0.0	0.0	1.0	0.0	0.0
1	30	2447.6823577655596	0.0	5.0	14.0	41.74387269628971	530.0445045993121	1917.637853166248	0.74960289711414	0.0	0.027079070458171293	-0.0005524580847436596	-0.00676182630230729	0.027079070458171293	-0.0005524580847436596	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	34.04831709913424	0.889999999999989	0.449999999999993	1.0	0.5	1.0	0.0	0.7937877480586712	0.5064710957722174	0.006902502157031924	0.0	0.23443331193476927	0.5281706162718091	0.2373960717934213
2	60	2397.83248416247	0.0	5.0	14.0	69.47798441710025	519.5006856499111	1878.3317985125614	0.7485366139226204	0.0	0.02769550221099116	0.000923773384410148	-0.003910120685971454	0.02769550221099116	0.000923773384410148	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	63.790224132724966	0.8899999999999889	0.44999999999999296	1.0	0.5	1.0	0.0	0.06303972366148532	0.5034542314335061	0.24006908462867013	0.0	0.3665430053282745	0.43510587599142314	0.19835111868030067
3	90	2364.7473088985716	0.0	5.0	14.0	96.95314844433865	512.7235997232323	1852.0237091753384	0.7472181368955296	0.0	0.036482207829164434	0.0002985748202742904	0.00647842121289101	0.036482207829164434	0.0002985748202742904	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	93.78340452047856	0.8899999999999884	0.44999999999999224	1.0	0.5	1.0	0.0	0.0	0.461465271170314	0.2844909609895338	0.0	0.59816689027839	0.2753919489236395	0.12644116079796947
4	120	2323.715454266026	0.0	5.0	14.0	121.7616768906205	504.25095071505046	1819.4645035509714	0.7459648192518081	0.0	0.036591395863216095	0.0014646141421205054	-0.00023034092505607113	0.036591395863216095	0.0014646141421205054	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	124.00693677890996	0.8899999999999885	0.4499999999999926	1.0	0.5	1.0	0.0	0.0	0.409375	0.12916666666666668	0.0	0.7897623437798271	0.14384774113136142	0.06638991508881155
5	150	2270.379468838499	0.0	5.0	14.0	143.88431891763565	493.20180541759635	1777.1776634209025	0.7443232031882171	0.0	0.03130989203643487	-0.0013430231829088303	-0.001940903280228538	0.03130989203643487	-0.0013430231829088303	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	153.77834014256422	0.8899999999999885	0.44999999999999263	1.0	0.5	1.0	0.0	0.0	0.3885955649419219	0.030623020063357972	0.0	0.9035815725460267	0.06591961012889311	0.030498817325080484
6	180	2234.689834936262	0.0	5.0	14.0	165.88321309102136	486.0437729152869	1748.646062020974	0.7428749050779504	0.0	0.030278545344193053	-0.002717190400198507	-0.0011513003981686023	0.030278545344193053	-0.002717190400198507	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	183.81134118122037	0.8899999999999885	0.44999999999999263	1.0	0.5	1.0	0.0	0.647489539748954	0.3797071129707113	0.006276150627615063	0.0	0.2487100721599819	0.5183974698589041	0.2328924579811141
7	210	2154.9723539011197	0.0	5.0	14.0	178.99829786594387	469.4379499033128	1685.5344039978077	0.7409486543000865	0.0	0.02923701246639043	0.0002535830276656968	0.0020672593483974794	0.02923701246639043	0.0002535830276656968	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	213.86973443599447	0.8899999999999885	0.4499999999999925	1.0	0.5	1.0	0.0	0.11975435005117707	0.38075742067553736	0.18730808597748208	0.0	0.3815279524032228	0.4247921677883378	0.19367987980843976
8	240	2101.5488373174107	0.0	5.0	14.0	195.8885392565711	459.01636488984127	1642.532472427569	0.7382200988982707	0.0	0.027614527213645764	0.0063809001153370916	-0.0010436382969892341	0.027614527213645764	0.0063809001153370916	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	243.80104960385123	0.8899999999999887	0.44999999999999296	1.0	0.5	1.0	0.0	0.0	0.3564131668558456	0.2383654937570942	0.0	0.6030583551130028	0.27209465424011026	0.1248469906468871
9	270	2063.8959805942045	0.0	5.0	14.0	212.2691372136438	451.812834036467	1612.0831465577394	0.7363114917271756	0.0	0.011463075844017522	0.011973634501141197	0.004471279533598967	0.011463075844017522	0.011973634501141197	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	273.9242117291479	0.8899999999999888	0.4499999999999932	1.0	0.5	1.0	0.0	0.0	0.3233890214797136	0.10381861575178998	0.0	0.7911167319582751	0.1429507476749994	0.06593252036672441
