	Time	Alive	Apoptotic	Necrotic
0	0.0	1137.0	0.0	0.0
1	1.0	1167.0	0.0	0.0
2	2.0	1167.0	0.0	0.0
3	3.0	1188.0	0.0	0.0
4	4.0	1188.0	0.0	0.0
5	5.0	1195.0	0.0	0.0
6	6.0	1195.0	0.0	0.0
7	7.0	1203.0	0.0	0.0
8	8.0	1203.0	0.0	0.0
9	9.0	1206.0	1.0	0.0
10	10.0	1206.0	1.0	0.0
11	11.0	1215.0	1.0	0.0
12	12.0	1215.0	1.0	0.0
13	13.0	1217.0	2.0	0.0
14	14.0	1217.0	2.0	0.0
15	15.0	1214.0	5.0	0.0
16	16.0	1214.0	5.0	0.0
17	17.0	1217.0	5.0	0.0
18	18.0	1217.0	5.0	0.0
19	19.0	1217.0	5.0	0.0
20	20.0	1217.0	5.0	0.0
21	21.0	1220.0	5.0	0.0
22	22.0	1220.0	5.0	0.0
23	23.0	1221.0	5.0	0.0
24	24.0	1221.0	5.0	0.0
25	25.0	1221.0	5.0	0.0
26	26.0	1221.0	5.0	0.0
27	27.0	1222.0	6.0	0.0
28	28.0	1222.0	6.0	0.0
29	29.0	1223.0	6.0	0.0
30	30.0	1223.0	6.0	0.0
31	31.0	1223.0	7.0	0.0
32	32.0	1223.0	7.0	0.0
33	33.0	1224.0	7.0	0.0
34	34.0	1224.0	7.0	0.0
35	35.0	1224.0	7.0	1.0
36	36.0	1224.0	7.0	1.0
37	37.0	1224.0	7.0	1.0
38	38.0	1224.0	7.0	1.0
39	39.0	1224.0	7.0	1.0
40	40.0	1224.0	7.0	1.0
41	41.0	1224.0	7.0	1.0
42	42.0	1224.0	7.0	1.0
43	43.0	1226.0	7.0	1.0
44	44.0	1226.0	7.0	1.0
45	45.0	1227.0	7.0	1.0
46	46.0	1227.0	7.0	1.0
47	47.0	1225.0	9.0	1.0
48	48.0	1225.0	9.0	1.0
49	49.0	1223.0	11.0	1.0
50	50.0	1223.0	11.0	1.0
51	51.0	1223.0	11.0	1.0
52	52.0	1223.0	11.0	1.0
53	53.0	1221.0	13.0	1.0
54	54.0	1221.0	13.0	1.0
55	55.0	1220.0	14.0	1.0
56	56.0	1220.0	14.0	1.0
57	57.0	1220.0	14.0	1.0
