,k5,k6,k7,score,score_init
0,10.0,5.0,0.005,4170,1138
1,10.0,5.0,0.025789474,494,1138
2,10.0,5.0,0.046578947,428,1138
3,10.0,5.0,0.067368421,432,1138
4,10.0,5.0,0.088157895,446,1138
5,10.0,5.0,0.108947368,439,1138
6,10.0,5.0,0.129736842,424,1138
7,10.0,5.0,0.150526316,420,1138
8,10.0,5.0,0.171315789,407,1138
9,10.0,5.0,0.192105263,389,1138
10,10.0,5.0,0.212894737,378,1138
11,10.0,5.0,0.233684211,395,1138
12,10.0,5.0,0.254473684,463,1138
13,10.0,5.0,0.275263158,443,1138
14,10.0,5.0,0.296052632,443,1138
15,10.0,5.0,0.316842105,863,1138
16,10.0,5.0,0.33763157899999996,876,1138
17,10.0,5.0,0.358421053,936,1138
18,10.0,5.0,0.379210526,1079,1138
19,10.0,5.0,0.4,1170,1138
20,10.0,6.315789474,0.005,4263,1138
21,10.0,6.315789474,0.025789474,381,1138
22,10.0,6.315789474,0.046578947,474,1138
23,10.0,6.315789474,0.067368421,477,1138
24,10.0,6.315789474,0.088157895,460,1138
25,10.0,6.315789474,0.108947368,434,1138
26,10.0,6.315789474,0.129736842,418,1138
27,10.0,6.315789474,0.150526316,395,1138
28,10.0,6.315789474,0.171315789,492,1138
29,10.0,6.315789474,0.192105263,428,1138
30,10.0,6.315789474,0.212894737,462,1138
31,10.0,6.315789474,0.233684211,454,1138
32,10.0,6.315789474,0.254473684,517,1138
33,10.0,6.315789474,0.275263158,380,1138
34,10.0,6.315789474,0.296052632,543,1138
35,10.0,6.315789474,0.316842105,915,1138
36,10.0,6.315789474,0.33763157899999996,934,1138
37,10.0,6.315789474,0.358421053,939,1138
38,10.0,6.315789474,0.379210526,965,1138
39,10.0,6.315789474,0.4,1035,1138
40,10.0,7.631578947,0.005,4009,1138
41,10.0,7.631578947,0.025789474,446,1138
42,10.0,7.631578947,0.046578947,477,1138
43,10.0,7.631578947,0.067368421,422,1138
44,10.0,7.631578947,0.088157895,470,1138
45,10.0,7.631578947,0.108947368,420,1138
46,10.0,7.631578947,0.129736842,440,1138
47,10.0,7.631578947,0.150526316,452,1138
48,10.0,7.631578947,0.171315789,441,1138
49,10.0,7.631578947,0.192105263,441,1138
50,10.0,7.631578947,0.212894737,398,1138
51,10.0,7.631578947,0.233684211,427,1138
52,10.0,7.631578947,0.254473684,439,1138
53,10.0,7.631578947,0.275263158,457,1138
54,10.0,7.631578947,0.296052632,665,1138
55,10.0,7.631578947,0.316842105,971,1138
56,10.0,7.631578947,0.33763157899999996,1046,1138
